filename,last_modified,size_bytes
MD5SUMS,2015-12-18 09-29-56,7634
SHA1SUMS,2015-12-18 09-30-05,8786
czmq-1.0.0.tar.gz,2011-04-26 18-09-44,371645
czmq-1.0.0.zip,2011-04-26 18-09-48,432125
czmq-1.1.0.tar.gz,2011-08-30 15-13-15,385620
czmq-1.1.0.zip,2011-08-30 15-13-19,446895
czmq-1.2.0.tar.gz,2012-08-06 08-18-52,418301
czmq-1.2.0.zip,2012-08-06 08-18-57,476417
czmq-1.3.1.tar.gz,2012-10-27 11-56-48,422540
czmq-1.3.1.zip,2012-10-27 11-56-52,484107
czmq-1.3.2.tar.gz,2012-12-12 19-31-09,422847
czmq-1.3.2.zip,2012-12-12 19-31-13,484465
czmq-1.4.0.tar.gz,2013-04-30 12-42-25,440753
czmq-1.4.0.zip,2013-04-30 12-42-29,517030
czmq-1.4.1.tar.gz,2013-05-01 11-56-10,440955
czmq-1.4.1.zip,2013-05-01 11-56-15,517284
czmq-2.0.0-rc1.tar.gz,2013-09-19 23-34-33,516770
czmq-2.0.0-rc1.zip,2013-09-19 23-34-41,632285
czmq-2.0.1-rc2.tar.gz,2013-09-21 09-18-47,516918
czmq-2.0.1-rc2.zip,2013-09-21 09-18-57,632549
czmq-2.0.2.tar.gz,2013-10-09 07-16-46,521663
czmq-2.0.2.zip,2013-10-09 07-16-51,638292
czmq-2.0.3.tar.gz,2013-11-16 11-31-07,533845
czmq-2.0.3.zip,2013-11-16 11-31-12,649139
czmq-2.1.0.tar.gz,2014-03-20 13-47-04,585871
czmq-2.1.0.zip,2014-03-20 13-47-06,730413
czmq-2.2.0.tar.gz,2014-06-26 09-27-49,592293
czmq-2.2.0.zip,2014-06-26 09-27-44,783828
czmq-3.0.0-rc1.tar.gz,2014-10-15 08-58-42,749833
czmq-3.0.0-rc1.zip,2014-10-15 08-58-50,955352
czmq-3.0.1.tar.gz,2015-06-02 18-29-17,741752
czmq-3.0.1.zip,2015-06-02 18-29-19,896469
czmq-3.0.2.tar.gz,2015-06-08 09-31-15,818110
czmq-3.0.2.zip,2015-06-08 09-31-24,974651
include/HEADER.html,2010-12-01 12-41-38,664
include/logo.gif,2010-12-01 12-39-20,2845
libzapi-1.2.1.tar.gz,2011-04-01 19-50-13,366739
libzapi-1.2.1.zip,2011-04-01 19-50-17,412400
libzapi-1.3.0.tar.gz,2011-04-08 14-37-12,374082
libzapi-1.3.0.zip,2011-04-08 14-37-16,431009
libzapi-1.3.1.tar.gz,2011-04-09 12-33-21,374905
libzapi-1.3.1.zip,2011-04-09 12-33-25,431392
libzapi-1.3.2.tar.gz,2011-04-15 16-06-31,376070
libzapi-1.3.2.zip,2011-04-15 16-06-34,432637
libzmq-master-bba0dd.zip,2013-09-10 17-28-43,1499818
mksums,2011-04-15 16-08-59,111
zapi-1.0.0.tar.gz,2011-03-22 22-51-41,341304
zapi-1.0.0.zip,2011-03-22 22-51-24,381921
zeromq-0.4.msi,2010-12-01 12-15-54,956416
zeromq-2.0-alpha1.exe,2010-12-01 12-16-16,206185
zeromq-2.0-alpha1.tar.gz,2010-12-01 12-16-17,435338
zeromq-2.0-alpha2.exe,2010-12-01 12-16-19,245264
zeromq-2.0-alpha2.tar.gz,2010-12-01 12-16-21,781948
zeromq-2.0-alpha3.exe,2010-12-01 12-16-22,248528
zeromq-2.0-alpha3.tar.gz,2010-12-01 12-16-24,788911
zeromq-2.0-beta1.exe,2010-12-01 12-16-26,580159
zeromq-2.0-beta1.tar.gz,2010-12-01 12-16-28,923783
zeromq-2.0-beta2.exe,2010-12-01 12-16-33,2647716
zeromq-2.0-beta2.tar.gz,2010-12-01 12-16-35,927764
zeromq-2.0.10.tar.gz,2010-10-15 19-38-23,1067165
zeromq-2.0.10.zip,2010-10-15 19-38-23,1354577
zeromq-2.0.11.tar.gz,2011-03-21 10-10-14,1078252
zeromq-2.0.11.zip,2011-03-21 10-10-37,1358898
zeromq-2.0.6-beta.tar.gz,2010-03-16 19-02-50,1018882
zeromq-2.0.6-beta.zip,2010-03-16 19-02-50,1265476
zeromq-2.0.7-beta.tar.gz,2010-06-04 19-32-51,1016700
zeromq-2.0.7-beta.zip,2010-06-04 19-32-51,1350800
zeromq-2.0.8.tar.gz,2010-08-25 13-21-40,1044023
zeromq-2.0.8.zip,2010-08-25 13-21-40,1366555
zeromq-2.0.9.tar.gz,2010-09-04 18-39-07,1077793
zeromq-2.0.9.zip,2010-09-04 18-39-07,1414289
zeromq-2.1.0-beta.tar.gz,2010-12-01 11-56-38,1172094
zeromq-2.1.0-beta.zip,2010-12-01 11-56-38,1514725
zeromq-2.1.1-rc.tar.gz,2011-02-23 11-20-58,1250041
zeromq-2.1.1-rc.zip,2011-02-23 11-20-48,1539684
zeromq-2.1.10.tar.gz,2011-10-03 14-30-17,1879075
zeromq-2.1.10.zip,2011-10-03 14-31-05,2158631
zeromq-2.1.11.tar.gz,2011-12-19 02-13-05,1891038
zeromq-2.1.11.zip,2011-12-19 02-13-27,2176986
zeromq-2.1.2-rc.tar.gz,2011-03-06 10-32-14,1252181
zeromq-2.1.2-rc.zip,2011-03-06 10-32-26,1545271
zeromq-2.1.3.tar.gz,2011-03-21 10-09-41,1757352
zeromq-2.1.3.zip,2011-03-21 10-10-23,1952919
zeromq-2.1.4.tar.gz,2011-03-30 14-22-51,1861271
zeromq-2.1.4.zip,2011-03-30 14-23-08,2127416
zeromq-2.1.7.tar.gz,2011-05-12 12-12-49,1877380
